,Office,Name,Date,cabinet,start,end,office_term,start_office,end_office,next_start,is_end
502,President of the Board of Control,Charles Williams-Wynn,Continued in office,TRUE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,31 July 1828,TRUE
503,President of the Board of Control,The Viscount Melville,31 July 1828,TRUE,1828-01-22,1830-11-01,31 July 1828,1828-07-31,1830-11-01,24 September 1828,TRUE
504,President of the Board of Control,The Lord Ellenborough,24 September 1828,TRUE,1828-01-22,1830-11-01,24 September 1828,1828-09-24,1830-11-01,NA,TRUE
505,Secretary to the Board of Control,Thomas Peregrine Courtenay,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,2 May 1828,TRUE
506,Secretary to the Board of Control,George Bankes,2 May 1828,FALSE,1828-01-22,1830-11-01,2 May 1828,1828-05-02,1830-11-01,16 February 1830,TRUE
507,Secretary to the Board of Control,John Stuart-Wortley,16 February 1830,FALSE,1828-01-22,1830-11-01,16 February 1830,1830-02-16,1830-11-01,NA,TRUE
508,Lord High Admiral,The Duke of Clarence,Continued in office[a],FALSE,1828-01-22,1830-11-01,Continued in office[a],1828-01-22,1830-11-01,NA,TRUE
509,First Lord of the Admiralty,The Viscount Melville,17 September 1828,TRUE,1828-01-22,1830-11-01,17 September 1828,1828-09-17,1830-11-01,NA,TRUE
510,First Secretary to the Admiralty,John Wilson Croker,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
511,Civil Lords of the Admiralty,Sir George Clerk,19 September 1828 –  31 July 1830,FALSE,1828-01-22,1830-11-01,19 September 1828 –  31 July 1830,1828-09-19,1830-07-31,19 September 1828,FALSE
512,Civil Lords of the Admiralty,Earl of Brecknock,19 September 1828 –  15 July 1829,FALSE,1828-01-22,1830-11-01,19 September 1828 –  15 July 1829,1828-09-19,1829-07-15,15 July 1829,FALSE
513,Civil Lords of the Admiralty,Viscount Castlereagh,15 July 1829 –  25 November 1830,FALSE,1828-01-22,1830-11-01,15 July 1829 –  25 November 1830,1829-07-15,1830-11-25,31 July 1830,FALSE
514,Civil Lords of the Admiralty,Charles Ross,31 July 1830 –  25 November 1830,FALSE,1828-01-22,1830-11-01,31 July 1830 –  25 November 1830,1830-07-31,1830-11-25,NA,FALSE
515,Lord Privy Seal,The Lord Ellenborough,26 January 1828,TRUE,1828-01-22,1830-11-01,26 January 1828,1828-01-26,1830-11-01,10 June 1829,TRUE
516,Lord Privy Seal,The Earl of Rosslyn,10 June 1829,TRUE,1828-01-22,1830-11-01,10 June 1829,1829-06-10,1830-11-01,NA,TRUE
517,Chancellor of the Duchy of Lancaster,The Earl of Aberdeen,26 January 1828,TRUE,1828-01-22,1830-11-01,26 January 1828,1828-01-26,1830-11-01,2 June 1828,TRUE
518,Chancellor of the Duchy of Lancaster,Charles Arbuthnot,2 June 1828,FALSE,1828-01-22,1830-11-01,2 June 1828,1828-06-02,1830-11-01,NA,TRUE
519,Master-General of the Ordnance,The Marquess of Anglesey,Continued in office,TRUE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,28 April 1828,TRUE
520,Master-General of the Ordnance,The Viscount Beresford,28 April 1828,TRUE,1828-01-22,1830-11-01,28 April 1828,1828-04-28,1830-11-01,NA,TRUE
521,Lieutenant-General of the Ordnance,Sir William Henry Clinton,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,8 July 1829[b],TRUE
522,Lieutenant-General of the Ordnance,Lord Edward Somerset,8 July 1829[b],FALSE,1828-01-22,1830-11-01,8 July 1829[b],1829-07-08,1830-11-01,NA,TRUE
523,Treasurer of the Ordnance,William Holmes,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
524,Surveyor-General of the Ordnance,Sir Herbert Taylor,24 March 1828,FALSE,1828-01-22,1830-11-01,24 March 1828,1828-03-24,1830-11-01,3 April 1829,TRUE
525,Surveyor-General of the Ordnance,Sir Henry Fane,3 April 1829,FALSE,1828-01-22,1830-11-01,3 April 1829,1829-04-03,1830-11-01,NA,TRUE
526,Clerk of the Ordnance,Sir George Clerk,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,4 August 1828,TRUE
527,Clerk of the Ordnance,Spencer Perceval,4 August 1828,FALSE,1828-01-22,1830-11-01,4 August 1828,1828-08-04,1830-11-01,NA,TRUE
528,Clerk of the Deliveries of the Ordnance,Edmund Phipps,Continued in office[c],FALSE,1828-01-22,1830-11-01,Continued in office[c],1828-01-22,1830-11-01,NA,TRUE
529,Storekeeper of the Ordnance,Mark Singleton,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,4 June 1829,TRUE
530,Storekeeper of the Ordnance,Frederick William French,4 June 1829,FALSE,1828-01-22,1830-11-01,4 June 1829,1829-06-04,1830-11-01,NA,TRUE
531,Treasurer of the Navy,William Vesey-Fitzgerald,25 February 1828,TRUE,1828-01-22,1830-11-01,25 February 1828,1828-02-25,1830-11-01,NA,TRUE
532,Secretary at War,Viscount Palmerston,Continued in office,TRUE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,31 May 1828,TRUE
533,Secretary at War,Sir Henry Hardinge,31 May 1828,FALSE,1828-01-22,1830-11-01,31 May 1828,1828-05-31,1830-11-01,30 July 1830,TRUE
534,Secretary at War,Lord Francis Leveson-Gower,30 July 1830,FALSE,1828-01-22,1830-11-01,30 July 1830,1830-07-30,1830-11-01,NA,TRUE
535,Master of the Mint,John Charles Herries,12 February 1828,TRUE,1828-01-22,1830-11-01,12 February 1828,1828-02-12,1830-11-01,NA,TRUE
536,Chief Secretary for Ireland,William Lamb,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,21 June 1828,TRUE
537,Chief Secretary for Ireland,Lord Francis Leveson-Gower,21 June 1828,FALSE,1828-01-22,1830-11-01,21 June 1828,1828-06-21,1830-11-01,30 July 1830,TRUE
538,Chief Secretary for Ireland,Sir Henry Hardinge,30 July 1830,FALSE,1828-01-22,1830-11-01,30 July 1830,1830-07-30,1830-11-01,NA,TRUE
539,Lord Lieutenant of Ireland,The Marquess of Anglesey,1 March 1828,TRUE,1828-01-22,1830-11-01,1 March 1828,1828-03-01,1830-11-01,6 March 1829,TRUE
540,Lord Lieutenant of Ireland,The Duke of Northumberland,6 March 1829,FALSE,1828-01-22,1830-11-01,6 March 1829,1829-03-06,1830-11-01,NA,TRUE
541,Paymaster of the Forces,William Vesey-Fitzgerald,Continued in office,TRUE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,15 July 1828,TRUE
542,Paymaster of the Forces,John Calcraft,15 July 1828,FALSE,1828-01-22,1830-11-01,15 July 1828,1828-07-15,1830-11-01,NA,TRUE
543,Postmaster General,The Duke of Manchester,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
544,First Commissioner of Woods and Forests,Charles Arbuthnot,11 February 1828,FALSE,1828-01-22,1830-11-01,11 February 1828,1828-02-11,1830-11-01,14 June 1828,TRUE
545,First Commissioner of Woods and Forests,Viscount Lowther,14 June 1828,FALSE,1828-01-22,1830-11-01,14 June 1828,1828-06-14,1830-11-01,NA,TRUE
546,Attorney General,Sir Charles Wetherell,19 February 1828,FALSE,1828-01-22,1830-11-01,19 February 1828,1828-02-19,1830-11-01,27 April 1829,TRUE
547,Attorney General,Sir James Scarlett,27 April 1829,FALSE,1828-01-22,1830-11-01,27 April 1829,1829-04-27,1830-11-01,NA,TRUE
548,Solicitor General,Sir Nicholas Conyngham Tindal,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,29 June 1829,TRUE
549,Solicitor General,Sir Edward Burtenshaw Sugden,29 June 1829,FALSE,1828-01-22,1830-11-01,29 June 1829,1829-06-29,1830-11-01,NA,TRUE
550,Judge Advocate General,Sir John Beckett,2 February 1828,FALSE,1828-01-22,1830-11-01,2 February 1828,1828-02-02,1830-11-01,NA,TRUE
551,Lord Advocate,Sir William Rae,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
552,Solicitor General for Scotland,John Hope,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
553,Attorney General for Ireland,Henry Joy,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
554,Solicitor General for Ireland,John Doherty,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
555,Lord Steward of the Household,The Marquess of Conyngham,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
556,Lord Chamberlain of the Household,The Duke of Montrose,18 February 1828,FALSE,1828-01-22,1830-11-01,18 February 1828,1828-02-18,1830-11-01,NA,TRUE
557,Vice-Chamberlain of the Household,Sir Samuel Hulse,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,24 July 1830,TRUE
558,Vice-Chamberlain of the Household,Earl of Belfast,24 July 1830,FALSE,1828-01-22,1830-11-01,24 July 1830,1830-07-24,1830-11-01,NA,TRUE
559,Master of the Horse,The Duke of Leeds,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
560,Treasurer of the Household,Sir William Henry Fremantle,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
561,Comptroller of the Household,Lord George Thomas Beresford,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
562,Captain of the Yeomen of the Guard,The Earl of Macclesfield,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
563,Captain of the Gentlemen Pensioners,The Viscount Hereford,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
564,Master of the Buckhounds,The Lord Maryborough,Continued in office,FALSE,1828-01-22,1830-11-01,1828-01-22,1828-01-22,1830-11-01,NA,TRUE
565,Prime Minister First Lord of the Treasury Leader of the House of Lords,The Earl Grey,22 November 1830 –  9 July 1834[a],TRUE,1830-11-01,1834-11-01,22 November 1830 –  9 July 1834[a],1830-11-22,1834-07-09,16 July 1834,FALSE
566,Prime Minister First Lord of the Treasury Leader of the House of Lords,The Viscount Melbourne,16 July 1834 –  14 November 1834,TRUE,1830-11-01,1834-11-01,16 July 1834 –  14 November 1834,1834-07-16,1834-11-14,NA,FALSE
567,Chancellor of the Exchequer,Viscount Althorp[b],22 November 1830,FALSE,1830-11-01,1834-11-01,22 November 1830,1830-11-22,1834-11-01,NA,TRUE
568,Financial Secretary to the Treasury,Thomas Spring-Rice,26 November 1830,FALSE,1830-11-01,1834-11-01,26 November 1830,1830-11-26,1834-11-01,6 June 1834,TRUE
569,Financial Secretary to the Treasury,Francis Baring,6 June 1834,FALSE,1830-11-01,1834-11-01,6 June 1834,1834-06-06,1834-11-01,NA,TRUE
570,Parliamentary Secretary to the Treasury,Edward Ellice,26 November 1830,TRUE,1830-11-01,1834-11-01,26 November 1830,1830-11-26,1834-11-01,10 August 1832,TRUE
571,Parliamentary Secretary to the Treasury,Charles Wood,10 August 1832,FALSE,1830-11-01,1834-11-01,10 August 1832,1832-08-10,1834-11-01,NA,TRUE
572,Junior Lords of the Treasury,The Lord Nugent,22 November 1830 –  22 November 1832,FALSE,1830-11-01,1834-11-01,22 November 1830 –  22 November 1832,1830-11-22,1832-11-22,22 November 1830,FALSE
573,Junior Lords of the Treasury,Robert Vernon Smith,22 November 1830 –  14 November 1834,FALSE,1830-11-01,1834-11-01,22 November 1830 –  14 November 1834,1830-11-22,1834-11-14,22 November 1830,FALSE
574,Junior Lords of the Treasury,Francis Baring,22 November 1830 –  6 June 1834,FALSE,1830-11-01,1834-11-01,22 November 1830 –  6 June 1834,1830-11-22,1834-06-06,22 November 1830,FALSE
575,Junior Lords of the Treasury,Hon. George Ponsonby,22 November 1830 –  14 November 1834,FALSE,1830-11-01,1834-11-01,22 November 1830 –  14 November 1834,1830-11-22,1834-11-14,22 November 1832,FALSE
576,Junior Lords of the Treasury,Thomas Francis Kennedy,22 November 1832 –  9 April 1834,FALSE,1830-11-01,1834-11-01,22 November 1832 –  9 April 1834,1832-11-22,1834-04-09,9 April 1834,FALSE
577,Junior Lords of the Treasury,Robert Graham,9 April 1834 –  14 November 1834,FALSE,1830-11-01,1834-11-01,9 April 1834 –  14 November 1834,1834-04-09,1834-11-14,20 June 1834,FALSE
578,Junior Lords of the Treasury,George Byng,20 June 1834 –  14 November 1834,FALSE,1830-11-01,1834-11-01,20 June 1834 –  14 November 1834,1834-06-20,1834-11-14,NA,FALSE
579,Lord Chancellor,The Lord Brougham and Vaux,22 November 1830,TRUE,1830-11-01,1834-11-01,22 November 1830,1830-11-22,1834-11-01,NA,TRUE
580,Lord President of the Council,The Marquess of Lansdowne,22 November 1830,TRUE,1830-11-01,1834-11-01,22 November 1830,1830-11-22,1834-11-01,NA,TRUE
581,Lord Privy Seal,The Lord Durham[c],22 November 1830,FALSE,1830-11-01,1834-11-01,22 November 1830,1830-11-22,1834-11-01,3 April 1833,TRUE
582,Lord Privy Seal,The Earl of Ripon,3 April 1833,TRUE,1830-11-01,1834-11-01,3 April 1833,1833-04-03,1834-11-01,5 June 1834,TRUE
583,Lord Privy Seal,The Earl of Carlisle,5 June 1834,TRUE,1830-11-01,1834-11-01,5 June 1834,1834-06-05,1834-11-01,30 July 1834,TRUE
584,Lord Privy Seal,The Earl of Mulgrave,30 July 1834,TRUE,1830-11-01,1834-11-01,30 July 1834,1834-07-30,1834-11-01,NA,TRUE
585,Secretary of State for the Home Department,The Viscount Melbourne,22 November 1830,TRUE,1830-11-01,1834-11-01,22 November 1830,1830-11-22,1834-11-01,19 July 1834,TRUE
586,Secretary of State for the Home Department,Viscount Duncannon,19 July 1834,TRUE,1830-11-01,1834-11-01,19 July 1834,1834-07-19,1834-11-01,NA,TRUE
587,Under-Secretary of State for the Home Department,Hon. George Lamb,22 November 1830,FALSE,1830-11-01,1834-11-01,22 November 1830,1830-11-22,1834-11-01,13 January 1834,TRUE
588,Under-Secretary of State for the Home Department,Viscount Howick,13 January 1834,FALSE,1830-11-01,1834-11-01,13 January 1834,1834-01-13,1834-11-01,23 July 1834,TRUE
589,Under-Secretary of State for the Home Department,Edward Stanley,23 July 1834,FALSE,1830-11-01,1834-11-01,23 July 1834,1834-07-23,1834-11-01,NA,TRUE
590,Secretary of State for Foreign Affairs,The Viscount Palmerston,22 November 1830,TRUE,1830-11-01,1834-11-01,22 November 1830,1830-11-22,1834-11-01,NA,TRUE
591,Under-Secretary of State for Foreign Affairs,Sir George Shee,26 November 1830,FALSE,1830-11-01,1834-11-01,26 November 1830,1830-11-26,1834-11-01,13 November 1834,TRUE
592,Under-Secretary of State for Foreign Affairs,Viscount Fordwich,13 November 1834,FALSE,1830-11-01,1834-11-01,13 November 1834,1834-11-13,1834-11-01,NA,TRUE
593,Secretary of State for War and the Colonies,The Viscount Goderich,22 November 1830,TRUE,1830-11-01,1834-11-01,22 November 1830,1830-11-22,1834-11-01,3 April 1833,TRUE
594,Secretary of State for War and the Colonies,Hon. Edward Smith-Stanley,3 April 1833,TRUE,1830-11-01,1834-11-01,3 April 1833,1833-04-03,1834-11-01,5 June 1834,TRUE
595,Secretary of State for War and the Colonies,Thomas Spring Rice,5 June 1834,TRUE,1830-11-01,1834-11-01,5 June 1834,1834-06-05,1834-11-01,NA,TRUE
596,Under-Secretary of State for War and the Colonies,Viscount Howick,23 November 1830,FALSE,1830-11-01,1834-11-01,23 November 1830,1830-11-23,1834-11-01,13 January 1834,TRUE
597,Under-Secretary of State for War and the Colonies,Sir John Shaw-Lefevre,13 January 1834,FALSE,1830-11-01,1834-11-01,13 January 1834,1834-01-13,1834-11-01,16 July 1834,TRUE
598,Under-Secretary of State for War and the Colonies,Sir George Grey,16 July 1834,FALSE,1830-11-01,1834-11-01,16 July 1834,1834-07-16,1834-11-01,NA,TRUE
599,First Lord of the Admiralty,Sir James Graham,22 November 1830,TRUE,1830-11-01,1834-11-01,22 November 1830,1830-11-22,1834-11-01,7 June 1834,TRUE
600,First Lord of the Admiralty,The Lord Auckland,7 June 1834,TRUE,1830-11-01,1834-11-01,7 June 1834,1834-06-07,1834-11-01,NA,TRUE
601,First Secretary to the Admiralty,Hon. George Elliot,29 November 1830,FALSE,1830-11-01,1834-11-01,29 November 1830,1830-11-29,1834-11-01,NA,TRUE
602,Civil Lord of the Admiralty,Henry Labouchere,8 June 1832,FALSE,1830-11-01,1834-11-01,8 June 1832,1832-06-08,1834-11-01,NA,TRUE
603,President of the Board of Control,Charles Grant,1 December 1830,TRUE,1830-11-01,1834-11-01,1 December 1830,1830-12-01,1834-11-01,NA,TRUE
604,Secretary to the Board of Control,Viscount Sandon,18 December 1830,FALSE,1830-11-01,1834-11-01,18 December 1830,1830-12-18,1834-11-01,18 May 1831,TRUE
605,Secretary to the Board of Control,Thomas Hyde Villiers,18 May 1831,FALSE,1830-11-01,1834-11-01,18 May 1831,1831-05-18,1834-11-01,19 December 1832,TRUE
606,Secretary to the Board of Control,Thomas Babington Macaulay,19 December 1832,FALSE,1830-11-01,1834-11-01,19 December 1832,1832-12-19,1834-11-01,26 December 1833,TRUE
607,Secretary to the Board of Control,Robert Gordon[d],26 December 1833 –  14 November 1834,FALSE,1830-11-01,1834-11-01,26 December 1833 –  14 November 1834,1833-12-26,1834-11-14,22 April 1834,FALSE
608,Secretary to the Board of Control,James Alexander Stewart-Mackenzie[d],22 April 1834 –  14 November 1834,FALSE,1830-11-01,1834-11-01,22 April 1834 –  14 November 1834,1834-04-22,1834-11-14,NA,FALSE
609,Chancellor of the Duchy of Lancaster,The Lord Holland,25 November 1830,TRUE,1830-11-01,1834-11-01,25 November 1830,1830-11-25,1834-11-01,NA,TRUE
610,Chief Secretary for Ireland,Hon. Edward Smith-Stanley[e],29 November 1830,FALSE,1830-11-01,1834-11-01,29 November 1830,1830-11-29,1834-11-01,29 March 1833,TRUE
611,Chief Secretary for Ireland,Sir John Hobhouse,29 March 1833,TRUE,1830-11-01,1834-11-01,29 March 1833,1833-03-29,1834-11-01,May 1833,TRUE
612,Chief Secretary for Ireland,Edward Littleton,May 1833,FALSE,1830-11-01,1834-11-01,May 1833,1833-05-01,1834-11-01,NA,TRUE
613,Lord Lieutenant of Ireland,The Marquess of Anglesey,4 December 1830,FALSE,1830-11-01,1834-11-01,4 December 1830,1830-12-04,1834-11-01,12 September 1833,TRUE
614,Lord Lieutenant of Ireland,The Marquess Wellesley,12 September 1833,FALSE,1830-11-01,1834-11-01,12 September 1833,1833-09-12,1834-11-01,NA,TRUE
615,Master of the Mint,The Lord Auckland,14 December 1830,TRUE,1830-11-01,1834-11-01,14 December 1830,1830-12-14,1834-11-01,13 June 1834,TRUE
616,Master of the Mint,James Abercromby,13 June 1834,TRUE,1830-11-01,1834-11-01,13 June 1834,1834-06-13,1834-11-01,NA,TRUE
617,Paymaster of the Forces,Lord John Russell[f],16 December 1830,FALSE,1830-11-01,1834-11-01,16 December 1830,1830-12-16,1834-11-01,NA,TRUE
618,Minister without Portfolio,The Earl of Carlisle,22 November 1830 –  5 June 1834,TRUE,1830-11-01,1834-11-01,22 November 1830 –  5 June 1834,1830-11-22,1834-06-05,NA,FALSE
619,Postmaster-General,The Duke of Richmond,11 December 1830,TRUE,1830-11-01,1834-11-01,11 December 1830,1830-12-11,1834-11-01,5 July 1834,TRUE
620,Postmaster-General,The Marquess Conyngham,5 July 1834,FALSE,1830-11-01,1834-11-01,5 July 1834,1834-07-05,1834-11-01,NA,TRUE
621,President of the Board of Trade,The Lord Auckland,22 November 1830,TRUE,1830-11-01,1834-11-01,22 November 1830,1830-11-22,1834-11-01,5 June 1834,TRUE
622,President of the Board of Trade,Charles Poulett Thomson,5 June 1834,TRUE,1830-11-01,1834-11-01,5 June 1834,1834-06-05,1834-11-01,NA,TRUE
623,Vice-President of the Board of Trade,Charles Poulett Thomson,22 November 1830,TRUE,1830-11-01,1834-11-01,22 November 1830,1830-11-22,1834-11-01,5 June 1834,TRUE
624,Vice-President of the Board of Trade,Henry Labouchere,5 June 1834,FALSE,1830-11-01,1834-11-01,5 June 1834,1834-06-05,1834-11-01,NA,TRUE
625,Secretary at War,Charles Williams-Wynn,30 November 1830,FALSE,1830-11-01,1834-11-01,30 November 1830,1830-11-30,1834-11-01,4 April 1831,TRUE
626,Secretary at War,Sir Henry Parnell,4 April 1831,FALSE,1830-11-01,1834-11-01,4 April 1831,1831-04-04,1834-11-01,1 February 1832,TRUE
627,Secretary at War,Sir John Hobhouse,1 February 1832,TRUE,1830-11-01,1834-11-01,1 February 1832,1832-02-01,1834-11-01,6 April 1833,TRUE
628,Secretary at War,Edward Ellice[g],6 April 1833,FALSE,1830-11-01,1834-11-01,6 April 1833,1833-04-06,1834-11-01,NA,TRUE
629,First Commissioner of Woods and Forests,George Agar-Ellis,2 December 1830,FALSE,1830-11-01,1834-11-01,2 December 1830,1830-12-02,1834-11-01,7 February 1831,TRUE
630,First Commissioner of Woods and Forests,Viscount Duncannon,7 February 1831,TRUE,1830-11-01,1834-11-01,7 February 1831,1831-02-07,1834-11-01,22 July 1834,TRUE
631,First Commissioner of Woods and Forests,Sir John Hobhouse,22 July 1834,TRUE,1830-11-01,1834-11-01,22 July 1834,1834-07-22,1834-11-01,NA,TRUE
632,Treasurer of the Navy,Charles Poulett Thomson,30 November 1830,TRUE,1830-11-01,1834-11-01,30 November 1830,1830-11-30,1834-11-01,NA,TRUE
633,Master-General of the Ordnance,Sir James Kempt,11 December 1830,FALSE,1830-11-01,1834-11-01,11 December 1830,1830-12-11,1834-11-01,NA,TRUE
634,Treasurer of the Ordnance,Thomas Creevey,31 January 1831,FALSE,1830-11-01,1834-11-01,31 January 1831,1831-01-31,1834-11-01,NA,TRUE
635,Surveyor-General of the Ordnance,William Leader Maberly,12 January 1831,FALSE,1830-11-01,1834-11-01,12 January 1831,1831-01-12,1834-11-01,30 November 1832,TRUE
636,Surveyor-General of the Ordnance,Charles Richard Fox,30 November 1832,FALSE,1830-11-01,1834-11-01,30 November 1832,1832-11-30,1834-11-01,NA,TRUE
637,Clerk of the Ordnance,Charles Tennyson,30 December 1830,FALSE,1830-11-01,1834-11-01,30 December 1830,1830-12-30,1834-11-01,8 February 1832,TRUE
638,Clerk of the Ordnance,Thomas Francis Kennedy,8 February 1832,FALSE,1830-11-01,1834-11-01,8 February 1832,1832-02-08,1834-11-01,30 November 1832,TRUE
639,Clerk of the Ordnance,William Leader Maberly,30 November 1832,FALSE,1830-11-01,1834-11-01,30 November 1832,1832-11-30,1834-11-01,19 June 1834,TRUE
640,Clerk of the Ordnance,Andrew Leith Hay,19 June 1834,FALSE,1830-11-01,1834-11-01,19 June 1834,1834-06-19,1834-11-01,NA,TRUE
641,Storekeeper of the Ordnance,Henry Duncan,30 December 1830,FALSE,1830-11-01,1834-11-01,30 December 1830,1830-12-30,1834-11-01,NA,TRUE
642,Attorney General,Sir Thomas Denman,24 November 1830,FALSE,1830-11-01,1834-11-01,24 November 1830,1830-11-24,1834-11-01,26 November 1832,TRUE
643,Attorney General,Sir William Horne,26 November 1832,FALSE,1830-11-01,1834-11-01,26 November 1832,1832-11-26,1834-11-01,1 March 1834,TRUE
644,Attorney General,Sir John Campbell,1 March 1834,FALSE,1830-11-01,1834-11-01,1 March 1834,1834-03-01,1834-11-01,NA,TRUE
645,Solicitor General,Sir William Horne,24 November 1830,FALSE,1830-11-01,1834-11-01,24 November 1830,1830-11-24,1834-11-01,26 November 1832,TRUE
646,Solicitor General,Sir John Campbell,26 November 1832,FALSE,1830-11-01,1834-11-01,26 November 1832,1832-11-26,1834-11-01,25 February 1834,TRUE
647,Solicitor General,Sir Charles Pepys,25 February 1834,FALSE,1830-11-01,1834-11-01,25 February 1834,1834-02-25,1834-11-01,6 November 1834,TRUE
648,Solicitor General,Sir Robert Rolfe,6 November 1834,FALSE,1830-11-01,1834-11-01,6 November 1834,1834-11-06,1834-11-01,NA,TRUE
649,Judge Advocate General,Sir Robert Grant,24 November 1830,FALSE,1830-11-01,1834-11-01,24 November 1830,1830-11-24,1834-11-01,19 June 1834,TRUE
650,Judge Advocate General,Robert Cutlar Fergusson,19 June 1834,FALSE,1830-11-01,1834-11-01,19 June 1834,1834-06-19,1834-11-01,NA,TRUE
651,Lord Advocate,Francis Jeffrey,3 December 1830,FALSE,1830-11-01,1834-11-01,3 December 1830,1830-12-03,1834-11-01,17 May 1834,TRUE
652,Lord Advocate,John Murray,17 May 1834,FALSE,1830-11-01,1834-11-01,17 May 1834,1834-05-17,1834-11-01,NA,TRUE
653,Solicitor General for Scotland,Henry Cockburn,3 December 1830,FALSE,1830-11-01,1834-11-01,3 December 1830,1830-12-03,1834-11-01,5 November 1834,TRUE
654,Solicitor General for Scotland,Andrew Skene,5 November 1834,FALSE,1830-11-01,1834-11-01,5 November 1834,1834-11-05,1834-11-01,NA,TRUE
655,Attorney General for Ireland,Edward Pennefather,23 December 1830,FALSE,1830-11-01,1834-11-01,23 December 1830,1830-12-23,1834-11-01,11 January 1831,TRUE
656,Attorney General for Ireland,Francis Blackburne,11 January 1831,FALSE,1830-11-01,1834-11-01,11 January 1831,1831-01-11,1834-11-01,NA,TRUE
657,Solicitor General for Ireland,Philip Cecil Crampton,23 December 1830,FALSE,1830-11-01,1834-11-01,23 December 1830,1830-12-23,1834-11-01,21 October 1834,TRUE
658,Solicitor General for Ireland,Michael O'Loghlen,21 October 1834,FALSE,1830-11-01,1834-11-01,21 October 1834,1834-10-21,1834-11-01,NA,TRUE
659,Lord Steward of the Household,The Marquess Wellesley,23 November 1830,FALSE,1830-11-01,1834-11-01,23 November 1830,1830-11-23,1834-11-01,11 September 1833,TRUE
660,Lord Steward of the Household,The Duke of Argyll,11 September 1833,FALSE,1830-11-01,1834-11-01,11 September 1833,1833-09-11,1834-11-01,NA,TRUE
661,Lord Chamberlain of the Household,The Duke of Devonshire,22 November 1830,FALSE,1830-11-01,1834-11-01,22 November 1830,1830-11-22,1834-11-01,NA,TRUE
662,Vice-Chamberlain of the Household,Earl of Belfast,24 July 1830,FALSE,1830-11-01,1834-11-01,24 July 1830,1830-07-24,1834-11-01,NA,TRUE
663,Master of the Horse,The Earl of Albemarle,24 November 1830,FALSE,1830-11-01,1834-11-01,24 November 1830,1830-11-24,1834-11-01,NA,TRUE
664,Treasurer of the Household,Sir William Henry Fremantle,27 May 1826 –  Continued in office,FALSE,1830-11-01,1834-11-01,27 May 1826 –  Continued in office,1826-05-27,1834-11-01,NA,FALSE
665,Comptroller of the Household,Lord Robert Grosvenor,23 November 1830,FALSE,1830-11-01,1834-11-01,23 November 1830,1830-11-23,1834-11-01,NA,TRUE
666,Captain of the Gentlemen Pensioners[h],The 3rd Lord Foley,8 December 1830,FALSE,1830-11-01,1834-11-01,8 December 1830,1830-12-08,1834-11-01,1 May 1833,TRUE
667,Captain of the Gentlemen Pensioners[h],The 4th Lord Foley,1 May 1833,FALSE,1830-11-01,1834-11-01,1 May 1833,1833-05-01,1834-11-01,NA,TRUE
668,Captain of the Yeomen of the Guard,The Marquess of Clanricarde,1 December 1830,FALSE,1830-11-01,1834-11-01,1 December 1830,1830-12-01,1834-11-01,16 July 1834,TRUE
